user_id,item_id
627349,38658045
627349,400499276
627349,243711650
699191,64372892
699191,105902532
748014,76874937
748014,342061133
1027626,7152134
1187238,86142252
1932774,194349145
2095294,190390494
2559590,287631291
2642753,309245869
2642753,231156238
2642753,224523488
3564077,251602922
3564077,272865091
3762752,162777497
3762752,264047662
3773471,215285378
3873034,236709522
3873034,86484056
4008563,128627872
4008563,114503657
4008563,33756342
4363457,183538878
4423839,151661741
4423839,297577500
4423839,350386337
4606353,64868601
4606353,34253760
4606353,239595774
4606353,392170661
4707609,138375610
4707609,306838119
4707609,378400404
4707609,282469769
5096381,140917841
5096381,27628281
5096381,280101461
5096381,155340650
5096381,214127093
5096381,228318324
5185661,57898849
5224199,123381389
5683524,140421465
5683524,401843568
5683524,271573746
5683524,13187460
5683524,206949002
5683524,173236514
5683524,305899244
5725817,359990782
6396896,321648009
6396896,291858205
6430954,67302624
6461380,15419652
6846140,311911456
6846140,42930384
6846140,190812371
6846140,139674520
7410322,126057302
7494627,48556422
7494627,176939445
7715572,311674876
7821057,1347379
7821057,108637777
7821057,203570498
8066606,161886872
8322595,46129538
8322595,68454568
8322595,364851001
8322595,231935684
8756709,354432714
10624647,303405737
12504005,357177981
12543741,283324669
12633543,152427822
12633543,49751238
12633543,91914753
12633543,14583476
12633543,340139768
13446415,226108358
13618452,257012250
13715846,279483933
13715846,178605003
13715846,163382813
13715846,176349039
13715846,335790356
13715846,347280099
14043203,117308603
14043203,85404073
14043203,371658412
14217475,358486385
14217475,87802311
14217475,220913958
14217475,29711418
14217475,100299230
14217475,247661659
14217475,338096008
14217475,138170909
14217475,239211765
14217475,196547171
14419615,21916616
14870142,35689600
14870142,100401467
15350277,269983479
15980685,161850081
15980685,203001834
15980685,319030770
16207363,270786620
16426792,340996734
16471696,383822283
16471696,242041656
16471696,29188570
16471696,200309581
16549250,26179440
16674524,285336718
16847478,186189718
16847478,392919414
16891565,310083951
17092645,316156736
17911143,85417349
18187983,137220373
18798980,286054124
19164979,279322674
19381333,127150652
19381333,341149620
19381333,247021692
19571711,179760879
19869572,124370395
19869572,55935774
20262488,369918126
20262488,165164755
20262488,285250693
20262488,211925453
20262488,37101896
20262488,80983527
20262488,404218699
20428615,98854889
20519542,60810390
20519542,65620725
20519542,203184121
20519542,149470810
20815921,383155886
20815921,142208
21119761,294167986
21134416,69478546
21134416,348763773
21367508,284555480
21396810,391095619
21396810,75850923
21396810,224821392
21396810,67201082
21449998,116454091
21449998,219471915
21449998,229075801
21449998,184291424
21449998,28733283
21449998,111102554
21449998,48099258
21782028,158738105
21782028,212044060
21782028,319455361
21782028,28892625
21968456,238219674
21968456,257780472
21968456,300420228
22090676,129997389
22090676,248580774
22090676,18465910
22090676,299236779
22132823,157984068
22132823,334085347
22132823,362838502
22232670,339984724
22393062,253903992
22402560,62243539
22496560,37523800
23441311,307576126
23642835,151904777
23749054,299809379
24045086,313106979
24626691,223018313
24626691,129577703
24642742,127000036
24729502,33161472
24729502,285635919
24729502,280625048
24729502,211131606
24729502,314301619
24729502,235479061
24839021,365398869
24839442,25373306
24839442,318059741
24839442,88042222
24839442,266015139
24839442,339272733
24839442,101769618
24839442,246400470
24839442,205644169
24839442,310341265
24839442,338884358
24839442,212379175
24839442,352390437
24839442,104738559
24839442,200734712
24839442,9620639
24839442,335381357
24839442,360309187
24839442,234757070
24839442,245187420
24839442,268488417
24839442,384922916
24839442,183562502
24839442,349756320
24839442,63360153
24839442,299363829
24839442,34223154
24839442,184250310
24839442,338564758
24839442,113342279
24839442,373888144
24839442,56156230
24839442,281584518
24839442,228391936
25261910,170930876
25261910,156890535
25774265,168202325
25800428,40759546
25800428,51459267
25800428,173452900
25800428,193860013
25800428,395581969
25800428,89413003
25800428,13503037
25849481,4201674
26841601,52490412
26936473,374030602
27296776,118504188
27296776,12241990
27296776,28352409
27296776,73885026
27296776,213806626
27296776,110640562
27296776,49485740
27296776,943078
27296776,383346083
27296776,281586128
27296776,342663117
27296776,178462689
27296776,113389698
27296776,199817039
27296776,176616159
27296776,165102493
27296776,325283665
27296776,298781014
27296776,301004121
27512670,212488165
27512670,321867565
28189555,280328504
28189555,317707233
28189555,404218699
28189555,92315021
28262501,89339213
28610813,347420302
28610813,104049546
28610813,101008599
28610813,139392786
28610813,321995663
28610813,254618899
28610813,123835533
29608942,164144259
29608942,55698517
29608942,349770970
29608942,382417631
29608942,650998
29608942,176571127
29608942,207449114
29608942,237908618
29898034,402456501
30407680,79953666
30407680,355434012
30559509,13528284
30607791,180334152
30607791,326441875
30607791,71713793
31006519,386517300
31006519,389551019
31024861,167822567
31024861,276638356
31024861,388207850
31024861,286297354
31224260,300930741
31354597,2823783
31354597,245145987
31462872,334399604
31466815,114257809
31466815,359983540
31810270,400954506
32011454,360837165
32056631,6661801
32345386,11637457
32345386,2700282
32345386,234381771
32345386,235777059
32596103,61089297
33086149,313735336
33086149,4699534
33086149,242692666
33086149,73741872
33288470,145417072
33288470,293103308
33376456,68812945
